"","0-14","15-29","30-64","65+"
"0-14",24,0.886766814068246,4.20049379183591,0.471750759933402
"15-29",0.8104733046075,7.3125,6.53517556254758,0.471949130475216
"30-64",1.28253339175983,2.18321401362515,9.03125,1.05621367981974
"65+",0.37,0.405,2.7131422833279,1.83
